antecedent,consequent,confidence
frozenset({'Course_9070'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_171'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Application mode_7'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9991'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9991'}),frozenset({'Daytime/evening attendance_0'}),1.0
frozenset({'Course_9147'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_9853'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Application mode_18'}),frozenset({'Previous qualification_1'}),1.0
frozenset({'Course_9773'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_8014'}),frozenset({'Educational special needs_0'}),1.0
"frozenset({""Father's qualification_34""})",frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9670'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_9238'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_8014'}),frozenset({'Daytime/evening attendance_0'}),1.0
frozenset({'Course_9500'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_9254'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Nacionality_1.0'}),frozenset({'International_0'}),1.0
frozenset({'Daytime/evening attendance_0'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9130'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Application mode_18'}),frozenset({'Educational special needs_0'}),1.0
"frozenset({""Mother's occupation_1""})",frozenset({'Educational special needs_0'}),1.0
frozenset({'Marital status_4'}),frozenset({'Educational special needs_0'}),1.0
"frozenset({""Mother's occupation_6""})",frozenset({'Educational special needs_0'}),1.0
"frozenset({""Mother's qualification_34""})",frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9085'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Admission grade bins_91-100'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9003'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Previous qualification_3'}),frozenset({'International_0'}),1.0
frozenset({'Course_9119'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Previous qualification_3'}),frozenset({'Educational special needs_0'}),1.0
frozenset({'Application order_6'}),frozenset({'Marital status_1'}),1.0
frozenset({'Course_9003'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Course_9130'}),frozenset({'Daytime/evening attendance_1'}),1.0
"frozenset({""Mother's occupation_0""})",frozenset({'Educational special needs_0'}),1.0
frozenset({'Course_9254'}),frozenset({'Daytime/evening attendance_1'}),1.0
frozenset({'Age group_28-35'}),frozenset({'Educational special needs_0'}),0.997539975399754
frozenset({'Marital status_2'}),frozenset({'Educational special needs_0'}),0.9972067039106145
frozenset({'Application mode_17'}),frozenset({'Previous qualification_1'}),0.9963325183374083
frozenset({'Application mode_1'}),frozenset({'Previous qualification_1'}),0.9962453066332916
"frozenset({""Mother's occupation_7""})",frozenset({'International_0'}),0.9961089494163424
"frozenset({""Father's occupation_10""})",frozenset({'Educational special needs_0'}),0.996031746031746
frozenset({'Unemployment rate bins_5-10%'}),frozenset({'Educational special needs_0'}),0.9949201741654572
"frozenset({""Father's occupation_2""})",frozenset({'Educational special needs_0'}),0.9946808510638298
frozenset({'Tuition fees up to date_0'}),frozenset({'Educational special needs_0'}),0.9939516129032258
"frozenset({""Father's occupation_7""})",frozenset({'Educational special needs_0'}),0.9936507936507937
frozenset({'Previous qualification_19'}),frozenset({'International_0'}),0.9936305732484076
frozenset({'Previous qualification_19'}),frozenset({'Educational special needs_0'}),0.9936305732484076
frozenset({'Course_9119'}),frozenset({'Educational special needs_0'}),0.9935897435897436
frozenset({'Application order_5'}),frozenset({'Daytime/evening attendance_1'}),0.9932885906040269
frozenset({'Application order_5'}),frozenset({'Previous qualification_1'}),0.9932885906040269
frozenset({'Application order_5'}),frozenset({'Educational special needs_0'}),0.9932885906040269
frozenset({'Application mode_39'}),frozenset({'Educational special needs_0'}),0.9932795698924731
frozenset({'Application mode_43'}),frozenset({'Educational special needs_0'}),0.9932432432432432
frozenset({'Course_9500'}),frozenset({'Educational special needs_0'}),0.9930651872399445
frozenset({'Application mode_17'}),frozenset({'Marital status_1'}),0.9926650366748166
frozenset({'Age group_18-22'}),frozenset({'Marital status_1'}),0.9926367461430575
"frozenset({""Mother's qualification_37""})",frozenset({'Educational special needs_0'}),0.9926160337552743
"frozenset({""Mother's occupation_9""})",frozenset({'Educational special needs_0'}),0.9926124916051041
"frozenset({""Father's qualification_3""})",frozenset({'Educational special needs_0'}),0.9924812030075187
frozenset({'Application mode_7'}),frozenset({'International_0'}),0.9924242424242424
frozenset({'Application mode_7'}),frozenset({'Scholarship holder_0'}),0.9924242424242424
"frozenset({""Father's qualification_38""})",frozenset({'International_0'}),0.9923896499238964
frozenset({'Application order_6'}),frozenset({'International_0'}),0.9921259842519685
frozenset({'Application order_6'}),frozenset({'Daytime/evening attendance_1'}),0.9921259842519685
frozenset({'Application order_6'}),frozenset({'Previous qualification_1'}),0.9921259842519685
"frozenset({""Father's occupation_10""})",frozenset({'International_0'}),0.9920634920634921
"frozenset({""Father's occupation_0""})",frozenset({'Educational special needs_0'}),0.991869918699187
"frozenset({""Father's occupation_0""})",frozenset({'International_0'}),0.991869918699187
"frozenset({""Father's occupation_6""})",frozenset({'Educational special needs_0'}),0.9910714285714286
frozenset({'Gender_1.0'}),frozenset({'Educational special needs_0'}),0.9909281228192603
frozenset({'International_1'}),frozenset({'Educational special needs_0'}),0.9908256880733946
frozenset({'Application order_1'}),frozenset({'Educational special needs_0'}),0.9904896090172596
frozenset({'Course_9070'}),frozenset({'International_0'}),0.9904761904761905
frozenset({'Scholarship holder_0'}),frozenset({'Educational special needs_0'}),0.9903876962512015
frozenset({'Course_9085'}),frozenset({'Educational special needs_0'}),0.9903225806451613
frozenset({'Course_8014'}),frozenset({'International_0'}),0.9902439024390244
frozenset({'Previous qualification_39'}),frozenset({'Application order_1'}),0.9901960784313726
